company_adddress,add_full,add_off
8574SB | 7,TEEUWES DE BOERSTRAAT 7,0
8531PM | 10,BREKKENWEG 10,0
1261EK | 1,BINNENWEG 1 A,0
8933AT | 50,EMMAKADE 50,0
8304EA | 30,MUIDENSTRAAT 30,0
8601WH | 7,ZADELMAKERSSTRAAT 7,0
8448GV | 79,DE OPSLACH 79,0
9251RK | 5,VAN DER PLOEGSTRJITTE 5,0
9257MG | 70,ZOMERWEG 70 A,0
9251GA | 38,MR W M OPPEDK VAN VEENWG 38,0
8862AL | 133,ACHLUMERDIJK 133,0
8444AC | 77,MARKTWEG 77,0
8861VH | 1,INDUSTRIEWEG 1 C,0
9206BJ | 6,HET GANGBOORD 6,0
9101PL | 6,OOSTERGOWEG 6,0
9254CS | 13,VAN WEERDEN POELMANSTR 13,0
8444AR | 4,INDUSTRIEWEG 4,0
8911AW | 9,WILLEMSKADE 9,0
8501SP | 2,SEWEI 2,0
8442LE | 581,BURGEMEESTER FALKENAWEG 581,0
8502AP | 21,STEVEN 21,0
2514GD | 95,NOORDEINDE 95,0
9101AP | 35,MOCKAMASTRJITTE 35,0
8938BG | 75,CERESWEG 75,0
8385GA | 1,PW JANSSENLAAN 1,0
8453XK | 1,MEERZIGT 1,0
9712AC | 9,HOGE DER A 9,0
9251ME | 31,KLOOSTERLAAN 31,0
8447SN | 25,INNOVATIELAAN 25,0
8459BN | 245,AENGWIRDERWEG 245,0
9281NW | 52,NIJEWEI 52 A,0
9101NT | 91,DE WOUDHORNE 91,0
1781AE | 39,HET NIEUWE DIEP 39 D,0
9076DL | 37,WARMOESSTRAAT 37,0
8921BL | 16,ZUIDVLIET 16,0
8508RL | 29,TJONGERPAD 29,0
9101JD | 2,BIJ T STATION 2,0
9289XL | 12,JAN GERKESWEI 12,0
8912BD | 1,NEWTONWEG 1,0
7951CZ | 3,H ZWERUSSTRAAT 3,0
8911LK | 1,NIEUWEWEG 1 J,0
8607CC | 1,AKKERWINDE 1,0
9206AX | 49,DE STEVEN 49,0
8601VB | 1,WOLKAMMERSSTRAAT 1,0
8913HB | 6,TESSELSCHADESTRAAT 6,0
9206AG | 32,DE HEMMEN 32,0
8801PP | 50,FRISIA 50,0
8894KK | 4,KOKSBOSWEG 4,0
2411NT | 9,DUITSLANDWEG 9,0
3542AR | 1,SOPHIALAAN 1,0
1411GM | 111,HUIZERSTRAATWEG 111,0
9244CM | 89,HOOFDSTRAAT 89,0
5705DG | 28,GRASBEEMD 28,0
9298RE | 1,HARM SMIDSWEI 1,0
9203CJ | 7,ZUIDKADE 7,0
8433ND | 11,TJIBBE VAN DEN BERGSTR 11,0
8433LP | 71,NORGERWEG 71,0
