company_adddress,city
9084BD | 22,GOUTUM
8934AD | 2,LEEUWARDEN
9255LH | 13,TYTSJERK
8491PA | 34,AKKRUM
9206AT | 18,DRACHTEN
8043PE | 38,ZWOLLE
8448CD | 10,HEERENVEEN
9041VC | 7,BERLTSUM
9101VK | 93,DOKKUM
9101KT | 1,DOKKUM
8938CA | 2,LEEUWARDEN
8501ZS | 1,JOURE
8911AE | 1,LEEUWARDEN
8401SC | 8,GORREDIJK
8536TN | 16,OOSTERZEE
8401AX | 39,GORREDIJK
8051ND | 1,HATTEM
9243SC | 15,BAKKEVEEN
8802PK | 3,FRANEKER
8913BA | 1,LEEUWARDEN
8754JE | 19,MAKKUM FR
8440AK | 4,HEERENVEEN
1382LE | 1,WEESP
9001CP | 98,GROU
9712BN | 49,GRONINGEN
7461TW | 2,RIJSSEN
9288CA | 7,KOOTSTERTILLE
9728JS | 200,GRONINGEN
2582HH | 137,SGRAVENHAGE
8271PK | 22,IJSSELMUIDEN
8501XG | 5,JOURE
8471ZZ | 30,WOLVEGA
8938AN | 5,LEEUWARDEN
5026RP | 1,TILBURG
9077SW | 17,VROUWENPAROCHIE
9251RM | 9,BURGUM
8538RG | 5,BANTEGA
4105DZ | 2,CULEMBORG
5801HV | 5,VENRAY
8604VT | 7,SNEEK
3068AV | 5,ROTTERDAM
8701MB | 39,BOLSWARD
8449EG | 1,TERBAND
8862TR | 1,HARLINGEN
8471XP | 12,WOLVEGA
8502CV | 163,JOURE
8411ZM | 18,JUBBEGA
9076PH | 22,STANNAPAROCHIE
3904PX | 10,VEENENDAAL
8448JA | 19,HEERENVEEN
8911DB | 156,LEEUWARDEN
9351VJ | 7,LEEK
9172PS | 71,FERWERT
9285WZ | 4,BUITENPOST
1017EM | 558,AMSTERDAM
8441BM | 35,HEERENVEEN
5611ZT | 200,EINDHOVEN
8471ZW | 1,WOLVEGA
8601VA | 1,SNEEK
8448CR | 6,HEERENVEEN
8502TK | 1,JOURE
9271KK | 102,DE WESTEREEN
8601WT | 19,SNEEK
9206AT | 16,DRACHTEN
8723GC | 1,KOUDUM
8701PR | 2,BOLSWARD
9202PD | 17,DRACHTEN
8501ZP | 18,JOURE
3871TG | 19,HOEVELAKEN
1322AC | 2,ALMERE
8448GX | 6,HEERENVEEN
8441BC | 88,HEERENVEEN
8601ZR | 6,SNEEK
8456GD | 121,DE KNIPE
9001ZE | 5,GROU
8397LE | 70,DE BLESSE
9207HD | 8,DRACHTEN
8441AC | 65,HEERENVEEN
9201GH | 49,DRACHTEN
8862BL | 11,HARLINGEN
9011TA | 5,JIRNSUM
1507CJ | 3,ZAANDAM
9081AL | 3,LEKKUM
5248NL | 133,ROSMALEN
9263TG | 4,GARYP
9104CS | 47,DAMWALD
9204KZ | 25,DRACHTEN
9207AM | 2,DRACHTEN
8801PN | 15,FRANEKER
8501ZA | 24,JOURE
1422DZ | 224,UITHOORN
9206BD | 14,DRACHTEN
9001ZZ | 34,GROU
8102CK | 30,RAALTE
8532CE | 13,LEMMER
9076MA | 20,STANNAPAROCHIE
9001ZJ | 17,GROU
9202PD | 10,DRACHTEN
8448JA | 23,HEERENVEEN
8605BV | 57,SNEEK
1471CM | 64,KWADIJK
8471AD | 12,WOLVEGA
7903AW | 66,HOOGEVEEN
8914AX | 14,LEEUWARDEN
8711CS | 45,WORKUM
8531EB | 29,LEMMER
8801PL | 6,FRANEKER
8911MA | 1,LEEUWARDEN
9001JK | 3,GROU
8444AV | 5,HEERENVEEN
8471XP | 18,WOLVEGA
8917BD | 100,LEEUWARDEN
8914CA | 4,LEEUWARDEN
9101DC | 70,DOKKUM
9101PZ | 4,DOKKUM
8603CL | 35,SNEEK
8938AT | 2,LEEUWARDEN
9161CT | 4,HOLLUM
8448MT | 12,HEERENVEEN
8441AZ | 15,HEERENVEEN
8431HH | 38,OOSTERWOLDE FR
8391AM | 73,NOORDWOLDE FR
8443DA | 1,HEERENVEEN
8604CE | 24,SNEEK
9101NR | 132,DOKKUM
9202PG | 2,DRACHTEN
8913EH | 36,LEEUWARDEN
9244CL | 39,BEETSTERZWAAG
8531DJ | 13,LEMMER
8633KV | 7,YSBRECHTUM
1101CB | 17,AMSTERDAM
1101AR | 56,AMSTERDAM
9025BR | 6,BEARS FR
8431RA | 17,OOSTERWOLDE FR
8861VA | 29,HARLINGEN
9231DB | 3,SURHUISTERVEEN
8939AA | 9,LEEUWARDEN
9005PS | 14,WERGEA
5913AE | 20,VENLO
8442BS | 56,HEERENVEEN
9001EH | 38,GROU
1012AB | 51,AMSTERDAM
8447SE | 5,HEERENVEEN
9041VH | 3,BERLTSUM
8448GV | 65,HEERENVEEN
8271BL | 103,IJSSELMUIDEN
9289KC | 4,DROGEHAM
8442BM | 83,HEERENVEEN
8442LE | 54,HEERENVEEN
9201SC | 46,DRACHTEN
8861NJ | 1,HARLINGEN
8642WJ | 1,LYTSEWIERRUM
8456JB | 28,DE KNIPE
9001NT | 14,GROU
9202PD | 18,DRACHTEN
3812RJ | 17,AMERSFOORT
8521NA | 20,SINT NICOLAASGA
8884HJ | 32,BAAIDUINEN
1114AB | 901,AMSTERDAMDUIVENDRECHT
8448CS | 36,HEERENVEEN
8701CL | 18,BOLSWARD
8921AB | 93,LEEUWARDEN
9247BD | 120,URETERP
8476EA | 2,TER IDZARD
8608AG | 47,SNEEK
8861KN | 27,HARLINGEN
9243KB | 1,BAKKEVEEN
8501XC | 9,JOURE
9171GD | 6,BLIJE
9291EG | 32,KOLLUM
9291MC | 4,KOLLUM
8471RX | 6,WOLVEGA
8331TV | 2,STEENWIJK
8919AA | 147,LEEUWARDEN
8701KA | 12,BOLSWARD
9202PE | 7,DRACHTEN
8917BD | 102,LEEUWARDEN
9471AP | 9,ZUIDLAREN
8774PL | 1,WOLSUM
9062GR | 20,OENTSJERK
1101BH | 55,AMSTERDAM
8491DR | 2,AKKRUM
8255CK | 22,SWIFTERBANT
8401BL | 48,GORREDIJK
2665MK | 40,BLEISWIJK
9207AM | 3,DRACHTEN
8934CJ | 4,LEEUWARDEN
8911AE | 50,LEEUWARDEN
8913HB | 10,LEEUWARDEN
9101WZ | 40,DOKKUM
9207AJ | 2,DRACHTEN
8606JP | 9,SNEEK
8501XH | 15,JOURE
9262NS | 18,SUMAR
3311JG | 53,DORDRECHT
8531PZ | 52,LEMMER
9101MT | 15,DOKKUM
8881AG | 5,WESTTERSCHELLING
8914BJ | 28,LEEUWARDEN
9101WV | 35,DOKKUM
8401JE | 58,GORREDIJK
9091BB | 5,WYNS
9295LD | 3,WESTERGEEST
9026BC | 2,JELLUM
8525EH | 29,LANGWEER
8013RA | 1,ZWOLLE
8501XP | 8,JOURE
8701MC | 101,BOLSWARD
4814RS | 36,BREDA
3842DR | 15,HARDERWIJK
8405BP | 6,LUXWOUDE
8911DW | 64,LEEUWARDEN
8911LH | 72,LEEUWARDEN
1077XX | 1143,AMSTERDAM
9287VN | 26,TWIJZELERHEIDE
8802PV | 3,FRANEKER
9125EE | 10,OOSTRUM FR
8531RL | 65,LEMMER
8915KL | 67,LEEUWARDEN
8601CM | 38,SNEEK
8812JM | 3,PEINS
9057LA | 1,JELSUM
8531AA | 54,LEMMER
8606JA | 27,SNEEK
9207EA | 15,DRACHTEN
8721GE | 9,WARNS
8912BG | 5,LEEUWARDEN
8914AT | 52,LEEUWARDEN
8862DD | 1,HARLINGEN
8861AK | 53,HARLINGEN
8932PA | 66,LEEUWARDEN
8731DW | 3,WOMMELS
8445RP | 5,HEERENVEEN
7151MR | 52,EIBERGEN
3161GR | 7,RHOON
9062HK | 3,OENTSJERK
8851GJ | 21,TZUMMARUM
8601ZK | 1,SNEEK
8502TL | 1,JOURE
4104AX | 15,CULEMBORG
8913CZ | 9,LEEUWARDEN
8801ET | 76,FRANEKER
9753TB | 12,HAREN GN
4815PN | 22,BREDA
9531AC | 61,BORGER
9723ZA | 284,GRONINGEN
9204WB | 1,DRACHTEN
7821AK | 8,EMMEN
9903GA | 23,APPINGEDAM
9934RT | 78,DELFZIJL
9471KA | 6,ZUIDLAREN
9743DA | 13,GRONINGEN
9461AB | 10,GIETEN
8721EX | 11,WARNS
7741MG | 18,COEVORDEN
9718AS | 15,GRONINGEN
9936GZ | 26,FARMSUM
9742AM | 200,GRONINGEN
3447GK | 10,WOERDEN
6006TB | 43,WEERT
9202LC | 7,DRACHTEN
9609PA | 5,WATERHUIZEN
7957EJ | 3,DE WIJK
7772JG | 31,HARDENBERG
9721AA | 93,GRONINGEN
7943PE | 134,MEPPEL
7833AA | 9,NIEUWAMSTERDAM
9611DH | 94,SAPPEMEER
9752XM | 269,HAREN GN
9351VJ | 8,LEEK
